,Board Name,Board Type,School Type,School Level,School Language,Grade Range,Enrolment,%_First_lang_not_English,%_First_lang_not_French,%_New_from_Non-English_speaking_ctry,%_New_from_Non-French_speaking_ctry,%_Special_Edu_Services,%_Gifted,%_Low_Income_Households,%_Parents_have_UniversityEducation,Avg_EQAO,Avg_change_EQAO,Avg_age_aggr,Avg_household_size_aggr,%_MaritalStatus_Married_aggr,%_NotCanadianCitizens_aggr,%_Housing_Owner_aggr,%_EthnicOrigin_NorthAmericanAboriginal_aggr,%_EthnicOrigin_OtherNorthAmerican_aggr,%_EthnicOrigin_European_aggr,%_EthnicOrigin_Caribbean_aggr,%_EthnicOrigin_LatinCentralSouthAmerican_aggr,%_EthniOrigin_African_aggr,%_EthnicOrigin_Oceania_aggr,%_Labour_InLabourForce_Unemployed_aggr,EQAO_Class,weights
0,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Secondary,English,9-12,202.0,33.60884163402348,100.0,8.734000910332266,8.702095671981768,19.8,7.6702247191011175,22.7,20.5,68.86757204499924,-0.4574338754723196,46.275,2.25,56.5068493150685,1.929260450160772,65.56291390728477,7.219251336898395,23.52941176470588,68.18181818181817,0.53475935828877,0.0,0.53475935828877,0.0,5.514705882352941,Average,1
1,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,182.0,33.60884163402348,100.0,8.734000910332266,8.702095671981768,14.8,7.6702247191011175,11.0,56.3,59.666666666666664,-23.166666666666668,46.724999999999994,2.325,60.204081632653065,2.258064516129032,81.94444444444444,6.20347394540943,25.55831265508685,66.25310173697271,0.49627791563275436,0.9925558312655087,0.49627791563275436,0.0,6.95970695970696,Poor,3
2,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-3,64.0,33.60884163402348,100.0,8.734000910332266,8.702095671981768,18.996517626827124,7.6702247191011175,34.3,37.2,68.66666666666667,22.0,46.275,2.25,66.38655462184873,2.3474178403755865,90.10989010989012,4.022988505747127,29.693486590038315,66.28352490421456,0.0,0.0,0.0,0.0,3.3802816901408446,Average,1
3,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,177.0,33.60884163402348,100.0,8.734000910332266,8.702095671981768,17.5,7.6702247191011175,32.0,31.4,41.333333333333336,-24.333333333333332,44.5,2.3249999999999997,62.77602523659306,2.73224043715847,86.25,7.657657657657657,20.72072072072072,70.04504504504504,0.9009009009009009,0.0,0.6756756756756757,0.0,4.545454545454546,Poor,3
4,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,152.0,33.60884163402348,99.3,8.734000910332266,8.702095671981768,25.6,7.6702247191011175,24.8,19.8,45.5,-14.833333333333334,46.900000000000006,2.05,56.231884057971016,1.4423076923076923,64.6766169154229,13.718411552346572,31.768953068592058,52.888086642599276,1.6245487364620936,0.0,0.0,0.0,5.7534246575342465,Poor,3
5,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,313.0,33.60884163402348,100.0,8.734000910332266,8.702095671981768,9.9,7.6702247191011175,19.0,35.3,77.75,6.666666666666667,42.325,2.0,35.09316770186335,6.266318537859007,17.22488038277512,11.76470588235294,24.369747899159663,60.08403361344538,2.3109243697478994,0.0,1.4705882352941175,0.0,4.73186119873817,Average,1
6,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,7-8,169.0,33.60884163402348,100.0,8.734000910332266,8.702095671981768,30.7,7.6702247191011175,17.5,29.7,68.86757204499924,-0.4574338754723196,45.449999999999996,2.35,71.08433734939759,1.832460732984293,92.45283018867924,6.652806652806653,23.284823284823286,70.06237006237006,0.0,0.0,0.0,0.0,4.242424242424243,Average,1
7,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-6,116.0,33.60884163402348,100.0,8.734000910332266,8.702095671981768,17.2,7.6702247191011175,31.2,31.7,64.0,-12.0,45.449999999999996,2.35,71.08433734939759,1.832460732984293,92.45283018867924,6.652806652806653,23.284823284823286,70.06237006237006,0.0,0.0,0.0,0.0,4.242424242424243,Average,1
8,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Secondary,English,9-12,328.0,33.60884163402348,99.1,8.734000910332266,8.702095671981768,29.5,7.6702247191011175,17.6,21.0,61.666666666666664,5.0,45.449999999999996,2.35,71.08433734939759,1.832460732984293,92.45283018867924,6.652806652806653,23.284823284823286,70.06237006237006,0.0,0.0,0.0,0.0,4.242424242424243,Average,1
9,Algoma DSB,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,274.0,33.60884163402348,97.8,8.734000910332266,8.702095671981768,18.9,7.6702247191011175,32.5,24.3,21.833333333333332,-25.166666666666668,49.65,2.025,57.03125,1.5945330296127564,65.45454545454545,7.931034482758621,38.44827586206897,52.93103448275862,0.3448275862068966,0.0,0.3448275862068966,0.0,3.978779840848806,Poor,3
