,Board Name,Board Type,School Type,School Level,School Language,Grade Range,City,Enrolment,Percentage of Students Whose First Language Is Not English,Percentage of Students Whose First Language Is Not French,Percentage of Students Who Are New to Canada from a Non-English Speaking Country,Percentage of Students Who Are New to Canada from a Non-French Speaking Country,Percentage of Students Receiving Special Education Services,Percentage of Students Identified as Gifted,Percentage of Children Who Live in Low-Income Households,Percentage of Students Whose Parents Have Some University Education,Avg_EQAO,Avg_change_EQAO,Avg_age_aggr,Age_0to14yrs_aggr,Age_15to64yrs_aggr,Age_65+yrs_aggr,Avg_household_size_aggr,Perc_Dwelling_Single-detached house_aggr,Perc_Dwelling_Apartment_aggr,Perc_Dwelling_Otherattached_aggr,Perc_MaritalStatus_Married_aggr,Perc_MaritalStatus_NotMarried_aggr,Perc_KnowledgeofOfficialLanguage_EnglishOnly_aggr,Perc_KnowledgeofOfficialLanguage_FrenchOnly_aggr,Perc_KnowledgeofOfficialLanguage_both_aggr,Perc_KnowledgeofOfficialLanguage_none_aggr,Perc_Canadian citizens_aggr,Perc_NotCanadianCitizens_aggr,Perc_Immigration_Non-immigrants_aggr,Perc_Immigration_Immigrants_aggr,Perc_Immigration_Non-permanent residents_aggr,Perc_Immigration_SelectedPlacesBirth_Americas_aggr,Perc_Immigration_SelectedPlacesBirth_Europe_aggr,Perc_Immigration_SelectedPlacesBirth_Africa_aggr,Perc_Immigration_SelectedPlacesBirth_Asia_aggr,Perc_Immigration_SelectedPlacesBirth_Oceania_Other_aggr,Perc_Housing_Owner_aggr,Perc_Housing_Renter_aggr,Perc_Housing_BandHousing_aggr,Perc_EthnicOrigin_NorthAmericanAboriginal_aggr,Perc_EthnicOrigin_OtherNorthAmerican_aggr,Perc_EthnicOrigin_European_aggr,Perc_EthnicOrigin_Caribbean_aggr,Perc_EthnicOrigin_LatinCentralSouthAmerican_aggr,Perc_EthniOrigin_African_aggr,Perc_EthnicOrigin_Oceania_aggr,Perc_Education_No certificateDiplomaDegree_aggr,Perc_Education_Secondary(high)SchoolDiploma_aggr,Perc_Education_PostsecondaryCertificateDiplomaDegree_ApprenticeshipTradesCertificateDiploma_aggr,Perc_Education_PostsecondaryCertificateDiplomaDegree_CollegeCEGEPOtherNon-universityCertificateDiploma_aggr,Perc_Education_PostsecondaryCertificateDiplomaDegree_UniversityCertificateDiplomaBelowBachelorLevel_aggr,Perc_Education_PostsecondaryCertificateDiplomaDegree_UniversityCertificateDiplomaDegreeBachelorLevelAbove_aggr,Perc_Labour_InLabourForce_Employed_aggr,Perc_Labour_InLabourForce_Unemployed_aggr,Perc_Labour_NotInLabourForce_aggr,EQAO_Class
767,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Elementary,English,6-8,St. Catharines,221.0,12.2,100.0,0.0,0.0,24.8,0.0,30.6,24.3,91.66666666666667,-1.6666666666666667,36.875,17.95,71.65,10.899999999999999,2.425,48.82629107981221,0.0,51.173708920187785,41.527446300715994,58.47255369928401,93.19470699432893,0.0,6.238185255198488,0.5671077504725899,90.56261343012704,9.43738656987296,80.25594149908592,16.087751371115175,3.656307129798903,33.33333333333333,24.137931034482758,12.643678160919542,29.88505747126437,0.0,50.45871559633027,49.54128440366973,0.0,4.251968503937007,31.65354330708661,50.07874015748032,2.9921259842519685,4.251968503937007,6.771653543307086,0.0,27.02078521939954,32.79445727482679,7.159353348729793,19.399538106235568,1.6166281755196306,12.009237875288683,51.724137931034484,5.287356321839081,42.98850574712644,Excellent
768,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Secondary,English,9-12,St. Catharines,212.0,5.7,100.0,0.0,0.0,25.9,0.0,21.1,20.4,75.0,-0.5,36.875,17.95,71.65,10.899999999999999,2.425,48.82629107981221,0.0,51.173708920187785,41.527446300715994,58.47255369928401,93.19470699432893,0.0,6.238185255198488,0.5671077504725899,90.56261343012704,9.43738656987296,80.25594149908592,16.087751371115175,3.656307129798903,33.33333333333333,24.137931034482758,12.643678160919542,29.88505747126437,0.0,50.45871559633027,49.54128440366973,0.0,4.251968503937007,31.65354330708661,50.07874015748032,2.9921259842519685,4.251968503937007,6.771653543307086,0.0,27.02078521939954,32.79445727482679,7.159353348729793,19.399538106235568,1.6166281755196306,12.009237875288683,51.724137931034484,5.287356321839081,42.98850574712644,Fair
769,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Elementary,English,1-8,St Catharines,418.0,8.9,98.8,0.0,0.0,11.0,0.0,17.1,36.3,84.16666666666667,3.1666666666666665,45.050000000000004,12.825,63.9,22.775,2.3499999999999996,82.48587570621469,0.0,17.51412429378531,57.938718662952645,42.061281337047355,93.7046004842615,0.0,5.811138014527845,0.48426150121065376,95.96199524940617,4.038004750593824,83.9622641509434,16.037735849056602,0.0,28.78787878787879,71.21212121212122,0.0,0.0,0.0,85.0828729281768,14.917127071823206,0.0,2.7777777777777777,24.444444444444443,69.81481481481482,1.2962962962962963,0.5555555555555556,1.1111111111111112,0.0,14.745308310991955,29.75871313672922,10.455764075067025,29.2225201072386,0.5361930294906166,15.281501340482572,55.525606469002696,6.46900269541779,38.00539083557952,Excellent
770,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,Port Colborne,223.0,0.0,100.0,0.0,0.0,30.9,0.0,29.3,11.7,76.16666666666667,-6.666666666666667,43.45,15.350000000000001,65.65,19.0,2.1,70.17543859649122,0.0,29.82456140350877,49.67948717948718,50.32051282051282,87.02702702702703,0.0,12.432432432432433,0.5405405405405406,98.1081081081081,1.891891891891892,89.45945945945945,10.54054054054054,0.0,15.0,62.5,5.0,17.5,0.0,70.71823204419888,29.2817679558011,0.0,8.791208791208792,27.252747252747252,62.637362637362635,0.43956043956043955,0.0,0.8791208791208791,0.0,27.3015873015873,35.87301587301587,8.88888888888889,22.53968253968254,1.2698412698412698,4.1269841269841265,44.5859872611465,7.006369426751593,48.40764331210191,Fair
771,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,Welland,377.0,0.0,100.0,0.0,0.0,23.0,0.0,30.7,9.3,57.5,18.666666666666668,40.599999999999994,19.65,63.35,17.05,2.3249999999999997,73.20261437908496,0.0,26.797385620915033,51.40845070422535,48.59154929577465,84.70254957507082,0.28328611898017,15.01416430594901,0.0,97.31343283582089,2.6865671641791042,88.35820895522389,11.044776119402986,0.5970149253731344,26.47058823529412,61.76470588235294,0.0,11.76470588235294,0.0,67.54966887417218,32.450331125827816,0.0,3.864734299516908,33.57487922705314,58.69565217391305,2.4154589371980677,0.966183574879227,0.4830917874396135,0.0,26.56826568265683,39.11439114391143,8.118081180811808,21.40221402214022,1.4760147601476015,3.3210332103321036,49.81818181818182,7.2727272727272725,42.90909090909091,Bad
772,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,St Catharines,232.0,11.2,99.1,5.2,5.2,29.3,0.0,39.7,18.8,93.0,4.666666666666667,39.05,20.075,63.949999999999996,16.3,2.5,30.45977011494253,0.0,69.54022988505747,51.89504373177842,48.10495626822158,93.0715935334873,0.23094688221709006,5.080831408775981,1.6166281755196306,95.0,5.0,75.41766109785203,24.105011933174225,0.47732696897374705,28.999999999999996,50.0,2.0,19.0,0.0,54.285714285714285,45.714285714285715,0.0,3.861788617886179,25.0,59.14634146341463,3.2520325203252036,6.097560975609756,2.642276422764228,0.0,23.939393939393938,34.54545454545455,10.0,20.606060606060606,2.1212121212121215,8.787878787878787,56.19335347432024,4.531722054380665,39.274924471299094,Excellent
773,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Secondary,English,9-12,Fonthill,786.0,1.9,99.9,0.0,0.0,18.5,0.0,5.6,48.9,69.33333333333333,-12.666666666666666,46.39999999999999,13.8,61.225,25.375,2.5,83.41232227488152,8.530805687203792,8.056872037914692,69.36542669584244,30.63457330415755,93.38374291115312,0.0,6.61625708884688,0.0,96.7984934086629,3.2015065913371,85.52631578947368,14.097744360902256,0.37593984962406013,9.333333333333334,72.0,2.666666666666667,13.333333333333334,2.666666666666667,90.14084507042254,9.859154929577464,0.0,1.5698587127158554,24.646781789638933,72.68445839874411,0.47095761381475665,0.0,0.3139717425431711,0.3139717425431711,10.775862068965516,23.70689655172414,6.4655172413793105,26.72413793103448,3.4482758620689653,28.879310344827587,52.87846481876333,5.11727078891258,42.00426439232409,Fair
774,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Secondary,English,9-12,Welland,362.0,0.0,100.0,0.0,0.0,58.2,0.0,28.1,15.1,62.0,9.0,49.15,11.85,55.75,31.675,2.1,57.75401069518716,8.02139037433155,34.22459893048128,48.87640449438202,51.12359550561798,69.40874035989717,1.2853470437017995,28.53470437017995,0.7712082262210797,96.99453551912568,3.0054644808743167,83.92370572207084,15.531335149863759,0.544959128065395,13.559322033898304,74.57627118644068,0.0,8.47457627118644,3.389830508474576,62.16216216216216,37.83783783783784,0.0,4.602510460251046,33.054393305439326,59.41422594142259,0.41841004184100417,1.2552301255230125,1.2552301255230125,0.0,31.366459627329192,33.22981366459628,9.006211180124224,18.32298136645963,0.6211180124223602,7.453416149068323,44.135802469135804,7.098765432098765,48.76543209876543,Fair
775,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Secondary,English,9-12,St Catharines,831.0,8.3,100.0,3.1,3.1,19.3,0.0,11.8,42.0,84.66666666666667,7.0,41.825,15.45,65.95,18.825000000000003,2.375,31.25,0.0,68.75,48.742138364779876,51.257861635220124,92.0,0.26666666666666666,7.199999999999999,0.5333333333333333,92.37057220708446,7.629427792915531,77.17391304347827,22.01086956521739,0.8152173913043478,17.72151898734177,51.89873417721519,2.5316455696202533,27.848101265822784,0.0,72.61146496815286,27.388535031847134,0.0,3.7914691943127963,23.933649289099527,67.29857819905213,1.8957345971563981,2.6066350710900474,0.47393364928909953,0.0,17.684887459807076,32.79742765273312,7.07395498392283,27.974276527331188,1.2861736334405145,13.183279742765272,58.97435897435898,5.128205128205128,35.8974358974359,Excellent
776,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,St Catharines,226.0,7.1,100.0,0.0,0.0,24.7,0.0,42.9,14.6,80.83333333333333,12.0,39.150000000000006,15.975000000000001,71.1,13.8,2.2,69.46107784431138,0.0,30.538922155688624,46.90553745928339,53.09446254071661,91.71270718232044,0.2762430939226519,7.734806629834254,0.2762430939226519,93.5656836461126,6.434316353887399,86.8632707774799,10.723860589812332,2.4128686327077746,28.205128205128204,46.15384615384615,0.0,25.64102564102564,0.0,67.27272727272727,32.72727272727273,0.0,5.947136563876652,30.396475770925107,58.14977973568281,0.6607929515418502,2.4229074889867843,1.5418502202643172,0.881057268722467,23.88535031847134,32.1656050955414,7.006369426751593,21.97452229299363,0.6369426751592357,14.331210191082802,59.04761904761905,4.444444444444445,36.507936507936506,Excellent
777,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,St Catharines,405.0,6.2,100.0,0.0,0.0,21.2,0.0,31.1,22.2,79.16666666666667,13.666666666666666,39.475,18.175,65.325,16.025,2.675,83.94160583941606,0.0,16.05839416058394,57.0945945945946,42.9054054054054,93.0939226519337,0.0,6.353591160220995,0.5524861878453038,94.56521739130434,5.434782608695652,87.22826086956522,10.869565217391305,1.9021739130434785,35.714285714285715,47.61904761904761,4.761904761904762,11.904761904761903,0.0,80.57553956834532,19.424460431654676,0.0,4.710920770877944,30.19271948608137,58.886509635974306,3.4261241970021414,0.4282655246252677,2.355460385438972,0.0,18.79432624113475,36.17021276595745,7.801418439716312,24.822695035460992,0.7092198581560284,11.702127659574469,62.15277777777778,5.555555555555555,32.29166666666667,Fair
778,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,Welland,312.0,14.7,100.0,13.1,13.8,16.3,0.0,19.8,29.6,78.16666666666667,2.8333333333333335,51.150000000000006,10.700000000000001,54.349999999999994,34.55,2.05,59.154929577464785,22.183098591549296,18.661971830985916,53.95948434622467,46.04051565377532,88.35616438356165,0.0,10.95890410958904,0.684931506849315,95.51971326164875,4.480286738351254,87.5,10.507246376811594,1.9927536231884055,11.11111111111111,66.66666666666666,5.555555555555555,16.666666666666664,0.0,55.27272727272727,44.72727272727273,0.0,4.154302670623145,28.041543026706233,65.13353115727003,0.8902077151335311,0.741839762611276,1.0385756676557862,0.0,21.237113402061855,29.48453608247423,9.690721649484537,26.18556701030928,1.443298969072165,11.958762886597938,45.43568464730291,4.564315352697095,50.0,Fair
779,DSB Niagara,Pub Dist Sch Brd (E/F),Public,Elementary,English,JK-8,Niagara Falls,710.0,23.4,99.7,3.7,3.7,13.6,0.0,16.9,44.2,73.5,-2.0,40.175000000000004,19.1,63.775000000000006,16.975,2.8499999999999996,75.29137529137529,0.0,24.708624708624708,64.17624521072797,35.82375478927203,90.1639344262295,0.07451564828614009,7.377049180327869,2.384500745156483,92.97583081570997,7.02416918429003,68.10279667422525,30.612244897959183,1.2849584278155708,12.871287128712872,32.67326732673268,2.722772277227723,51.73267326732673,0.0,85.91224018475751,14.087759815242496,0.0,2.622950819672131,19.18032786885246,70.90163934426229,2.7049180327868854,2.459016393442623,1.9672131147540985,0.16393442622950818,14.41351888667992,26.938369781312126,6.6600397614314115,22.266401590457257,2.783300198807157,26.938369781312126,67.06349206349206,3.273809523809524,29.66269841269841,Fair
